"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"94";1,443733128;0,284723675;1,424424308;0,177248801;0,06066413
"95";3,269633783;0,079579043;0,013120244;0,000194276;1,250941028
"96";0,054053362;0,070794486;0,0103292;0,005705286;0,144626435
"97";0,708787863;0,522142311;0,143547171;0,422588161;0,305272997
"98";0,123382398;0,434566477;0,416117072;0,095614183;0,01124243
"99";0,24215182;0,307567011;0,001758863;0,106165343;0,437740991
"100";0,125081508;0,34626129;1,634132805;0,065535648;0,261227777
"101";0,103332822;0,357956206;0,134126453;0,058805697;0,032878816
"102";0,081751914;0,488149365;0,246781877;0,286647756;0,056155502
"103";0,118428861;0,484519328;1,514407729;0,004762144;0,106480996
"104";0,123293032;0,516427911;0,983649749;0,045722686;0,15525784
"105";0,865869561;0,099633592;1,437535806;0,05267791;0,004526562
"106";1,251757231;0,17410415;0,23595902;0,046500496;1,398756141
"107";0,09809126;0,06440005;1,075443506;0,07939018;0,186699705
"108";0,017237589;0,009079024;0,046283605;0,000939046;0,449522384
"109";0,055576746;0,014486007;0,294512217;0,398198199;0,225902115
"110";0,081738435;0,011082568;0,341029203;0,000258626;0,000512373
"111";0,160449386;0,001587054;0,120367123;0,153863013;0,034519751
"112";0,006425181;0,116083698;0,175573434;3,396e-06;0,079177291
"113";0,048020557;0,000303888;0,056375388;0,165404426;0,689377536
"114";0,16064887;3,1108e-05;0,024673097;0,042183316;0,269197913
"115";0,187154753;0,023609509;0,021709162;0,347585933;0,109907222
"116";0,109931945;0,897885589;0,906258281;0,03748156;0,015020184
"117";0,207321227;1,094516035;0,241476216;0,000689444;0,123233418
"118";2,092583014;0,135781864;0,157529363;0,029139752;1,397648752
"119";1,096016642;0,087995629;1,122106202;0,043844743;0,296424236
"120";0,467370857;0,064708186;0,111844709;0,440898427;0,06845259
"121";0,362245299;0,1408215;0,23085209;0,066329079;0,7967449
"122";0,468318252;0,063667356;0,180009437;0,267232282;1,080899605
"123";1,722069763;0,03579145;0,262277987;0,147624598;0,135185666
"124";0,645804338;0,062488801;0,005681117;0,291159243;0,001675779
"125";0,427364979;0,134874181;0,252832313;0,09902265;0,659029484
"126";0,538730245;0,08822564;0,009025019;0,17995713;0,345818898
"127";0,639888042;0,039541562;0,002216793;0,170348164;0,247104655
"128";0,521759555;0,015683629;0,312780214;0,024263163;2,4e-08
"129";0,634002166;0,028222275;0,772278368;0,010885422;0,305177384
"130";0,637990717;0,050543348;0,526817556;0,064706643;0,636414353
"131";0,010468944;0,28825666;0,136403144;0,178411714;0,000422173
"132";0,054203043;0,043864199;0,020386978;0,377514271;0,278991664
"133";0,113466123;0,064405403;0,094486846;0,360522095;0,462891989
"134";0,008795862;0,081072415;0,870500746;0,185990327;0,727548684
"135";0,085908644;0,173611989;0,141866578;0,001046159;0,165055582
"136";0,05560203;0,157309226;0,252260793;0,893988316;0,655884092
"137";0,004413007;0,144909226;0,486543526;0,643390104;0,302967379
"138";8,2561e-05;0,003169229;0,084310415;0,004721445;1,344902893
"139";0,058137013;0,050294952;0,119026703;0,000202304;0,649654246
"140";0,025969314;0,095260626;0,329060632;0,00037139;1,140349009
"141";0,113767405;0,195034712;7,725e-05;0,300329336;0,00054469
"142";0,165654348;0,232185051;0,032758923;0,026367643;0,033467223
"143";0,059504124;0,307846585;0,34342528;0,074579937;0,190499729
"144";0,2064362;0,166362394;0,684954105;0,104187443;1,401062773
"145";0,324525937;0,260612788;0,004000591;0,005786972;0,006175147
"146";0,279307381;0,144791564;0,308588525;0,157200348;0,540548107
"147";0,301218157;0,097030946;0,037274669;0,351890384;0,036225128
"148";0,292605102;0,05807476;1,43011332;0,062631373;0,4876197
"149";0,353546354;0,147507664;0,751532027;0,097795881;0,623570187
"150";0,600526639;0,15672946;0,001443153;0,013689457;0,153179711
"151";0,449842887;0,158543384;0,035594702;1,325156331;0,609323285
"152";0,592441058;0,168828484;0,075061259;0,037986068;0,082835571
"153";0,446891277;0,088710364;0,429270484;0,002641067;1,294338423
"154";0,479370707;0,151531538;0,276024857;0,258267317;1,384574178
"155";0,607558716;0,144755537;0,197533838;0,595558838;0,100953647
"156";0,252763578;0,065796659;0,059552758;0,116010262;1,575247202
"157";0,498531627;0,298847005;0,026069575;0,245755723;0,057566664
"158";0,541642992;0,261760781;0,146971091;0,170068257;0,59894516
